block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
65;nbody.i;;34.93;12.46;12.46;12.46;12.46;0;1;
119;nbody.i;;30.26;10.8;10.8;10.8;10.8;0;1;
120;nbody.i;;13.71;4.89;4.89;4.89;4.89;0;1;
122;nbody.i;;7.43;2.65;2.65;2.65;2.65;0;1;
69;nbody.i;;6.92;2.47;2.47;2.47;2.47;0;1;
66;nbody.i;;2.94;1.05;1.05;1.05;1.05;0;1;
67;nbody.i;;2.73;0.98;0.98;0.98;0.98;0;1;
70;nbody.i;;0.15;0.05;0.05;0.05;0.05;0;1;
121;nbody.i;;0.1;0.04;0.04;0.04;0.04;0;1;
72;nbody.i;;0.03;0.01;0.01;0.01;0.01;0;1;
125;nbody.i;;0.03;0.01;0.01;0.01;0.01;0;1;
118;nbody.i;;0.01;0;0;0;0;0;1;
71;nbody.i;;0.01;0;0;0;0;0;1;
48;nbody.i;;0.01;0;0;0;0;0;1;
88;nbody.i;;0.01;0;0;0;0;0;1;
